timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,smape_mean,smape_std,status,error
2026-01-13T19:23:16.317679,lightgbm,euro28,basic,no,20,avgActiveTransceivers,3.288,0.531,0.119,0.536,0.164,0.016,0.003,success,
2026-01-13T19:23:21.628705,lightgbm,euro28,topology,yes,20,highestSlot,9.049,0.805,0.18,-0.138,0.279,0.092,0.008,success,
2026-01-13T19:23:21.628743,lightgbm,euro28,topology,yes,20,avgHighestSlot,4.266,0.532,0.119,0.17,0.154,0.065,0.008,success,
2026-01-13T19:23:21.628755,lightgbm,euro28,topology,yes,20,sumOfSlots,156.496,22.993,5.141,0.241,0.181,0.042,0.006,success,
2026-01-13T19:23:21.628766,lightgbm,euro28,topology,yes,20,avgActiveTransceivers,6.0,0.74,0.165,-0.639,0.76,0.03,0.004,success,
2026-01-13T19:23:25.073601,lightgbm,euro28,topology,no,20,highestSlot,9.832,1.075,0.24,-0.267,0.269,0.101,0.011,success,
2026-01-13T19:23:25.073639,lightgbm,euro28,topology,no,20,avgHighestSlot,5.25,0.673,0.15,-0.28,0.29,0.079,0.01,success,
2026-01-13T19:23:25.073651,lightgbm,euro28,topology,no,20,sumOfSlots,208.355,31.497,7.043,-0.296,0.281,0.056,0.008,success,
2026-01-13T19:23:25.073662,lightgbm,euro28,topology,no,20,avgActiveTransceivers,5.666,1.031,0.23,-0.533,0.772,0.028,0.005,success,
2026-01-13T19:23:30.555125,lightgbm,euro28,distribution,yes,20,highestSlot,8.948,1.095,0.245,-0.05,0.229,0.091,0.011,success,
2026-01-13T19:23:30.555182,lightgbm,euro28,distribution,yes,20,avgHighestSlot,3.626,0.433,0.097,0.374,0.115,0.055,0.006,success,
2026-01-13T19:23:30.555209,lightgbm,euro28,distribution,yes,20,sumOfSlots,115.882,19.873,4.444,0.586,0.141,0.031,0.005,success,
2026-01-13T19:23:30.555235,lightgbm,euro28,distribution,yes,20,avgActiveTransceivers,3.692,0.64,0.143,0.338,0.461,0.018,0.003,success,
2026-01-13T19:23:34.272691,lightgbm,euro28,distribution,no,20,highestSlot,10.121,1.121,0.251,-0.266,0.265,0.104,0.011,success,
2026-01-13T19:23:34.272731,lightgbm,euro28,distribution,no,20,avgHighestSlot,4.848,0.623,0.139,-0.136,0.28,0.073,0.009,success,
2026-01-13T19:23:34.272743,lightgbm,euro28,distribution,no,20,sumOfSlots,190.392,27.212,6.085,-0.132,0.329,0.052,0.007,success,
2026-01-13T19:23:34.272754,lightgbm,euro28,distribution,no,20,avgActiveTransceivers,3.661,0.583,0.13,0.349,0.474,0.018,0.003,success,
2026-01-13T19:23:40.466657,lightgbm,euro28,traffic,yes,20,highestSlot,8.769,1.145,0.256,-0.035,0.275,0.09,0.012,success,
2026-01-13T19:23:40.466697,lightgbm,euro28,traffic,yes,20,avgHighestSlot,3.787,0.538,0.12,0.309,0.172,0.057,0.008,success,
2026-01-13T19:23:40.466709,lightgbm,euro28,traffic,yes,20,sumOfSlots,136.666,25.38,5.675,0.411,0.212,0.037,0.007,success,
2026-01-13T19:23:40.466720,lightgbm,euro28,traffic,yes,20,avgActiveTransceivers,4.171,0.854,0.191,0.16,0.53,0.021,0.004,success,
2026-01-13T19:23:44.126043,lightgbm,euro28,traffic,no,20,highestSlot,9.616,1.097,0.245,-0.175,0.233,0.099,0.011,success,
2026-01-13T19:23:44.126088,lightgbm,euro28,traffic,no,20,avgHighestSlot,4.828,0.608,0.136,-0.104,0.243,0.073,0.009,success,
2026-01-13T19:23:44.126100,lightgbm,euro28,traffic,no,20,sumOfSlots,175.569,36.46,8.153,0.024,0.251,0.048,0.01,success,
2026-01-13T19:23:44.126111,lightgbm,euro28,traffic,no,20,avgActiveTransceivers,4.026,0.591,0.132,0.223,0.317,0.02,0.003,success,
2026-01-13T19:23:50.228213,lightgbm,euro28,all,yes,20,highestSlot,8.78,1.004,0.225,0.026,0.233,0.09,0.01,success,
2026-01-13T19:23:50.228291,lightgbm,euro28,all,yes,20,avgHighestSlot,3.351,0.54,0.121,0.464,0.153,0.051,0.008,success,
2026-01-13T19:23:50.228327,lightgbm,euro28,all,yes,20,sumOfSlots,111.501,18.929,4.233,0.619,0.143,0.03,0.005,success,
2026-01-13T19:23:50.228358,lightgbm,euro28,all,yes,20,avgActiveTransceivers,3.221,0.586,0.131,0.494,0.279,0.016,0.003,success,
2026-01-13T19:23:54.312117,lightgbm,euro28,all,no,20,highestSlot,10.494,1.407,0.315,-0.387,0.404,0.108,0.014,success,
2026-01-13T19:23:54.312156,lightgbm,euro28,all,no,20,avgHighestSlot,4.938,0.608,0.136,-0.135,0.228,0.075,0.009,success,
2026-01-13T19:23:54.312169,lightgbm,euro28,all,no,20,sumOfSlots,189.083,30.063,6.722,-0.097,0.228,0.051,0.008,success,
2026-01-13T19:23:54.312180,lightgbm,euro28,all,no,20,avgActiveTransceivers,2.938,0.526,0.118,0.58,0.209,0.015,0.003,success,
2026-01-13T19:23:59.582598,lightgbm,us26,basic,yes,20,highestSlot,19.966,3.07,0.686,-0.088,0.331,0.137,0.02,success,
2026-01-13T19:23:59.582634,lightgbm,us26,basic,yes,20,avgHighestSlot,4.633,0.771,0.172,0.401,0.198,0.07,0.011,success,
2026-01-13T19:23:59.582646,lightgbm,us26,basic,yes,20,sumOfSlots,86.168,13.07,2.922,0.712,0.092,0.027,0.004,success,
2026-01-13T19:23:59.582657,lightgbm,us26,basic,yes,20,avgActiveTransceivers,3.767,0.532,0.119,0.468,0.201,0.019,0.003,success,
2026-01-13T19:24:02.819365,lightgbm,us26,basic,no,20,highestSlot,19.936,2.726,0.61,-0.199,0.309,0.136,0.018,success,
2026-01-13T19:24:02.819428,lightgbm,us26,basic,no,20,avgHighestSlot,5.984,1.03,0.23,-0.105,0.234,0.09,0.015,success,
2026-01-13T19:24:02.819455,lightgbm,us26,basic,no,20,sumOfSlots,167.228,25.822,5.774,-0.004,0.196,0.053,0.008,success,
2026-01-13T19:24:02.819480,lightgbm,us26,basic,no,20,avgActiveTransceivers,3.64,0.517,0.116,0.499,0.222,0.018,0.003,success,
2026-01-13T19:24:08.236965,lightgbm,us26,topology,yes,20,highestSlot,20.102,3.63,0.812,-0.044,0.331,0.137,0.025,success,
2026-01-13T19:24:08.237012,lightgbm,us26,topology,yes,20,avgHighestSlot,4.791,0.693,0.155,0.388,0.159,0.072,0.01,success,
2026-01-13T19:24:08.237024,lightgbm,us26,topology,yes,20,sumOfSlots,114.303,19.279,4.311,0.482,0.245,0.036,0.006,success,
2026-01-13T19:24:08.237035,lightgbm,us26,topology,yes,20,avgActiveTransceivers,5.938,0.87,0.195,-0.462,0.255,0.029,0.004,success,
2026-01-13T19:24:11.601540,lightgbm,us26,topology,no,20,highestSlot,20.829,3.577,0.8,-0.176,0.313,0.142,0.024,success,
2026-01-13T19:24:11.601616,lightgbm,us26,topology,no,20,avgHighestSlot,5.933,0.837,0.187,-0.082,0.302,0.089,0.012,success,
2026-01-13T19:24:11.601651,lightgbm,us26,topology,no,20,sumOfSlots,176.272,20.769,4.644,-0.091,0.222,0.056,0.007,success,
2026-01-13T19:24:11.601683,lightgbm,us26,topology,no,20,avgActiveTransceivers,5.685,0.813,0.182,-0.306,0.197,0.028,0.004,success,
2026-01-13T19:24:16.929099,lightgbm,us26,distribution,yes,20,highestSlot,18.503,2.504,0.56,0.078,0.219,0.127,0.017,success,
2026-01-13T19:24:16.929139,lightgbm,us26,distribution,yes,20,avgHighestSlot,4.682,0.851,0.19,0.424,0.144,0.07,0.012,success,
2026-01-13T19:24:16.929152,lightgbm,us26,distribution,yes,20,sumOfSlots,84.233,13.804,3.087,0.734,0.082,0.027,0.004,success,
2026-01-13T19:24:16.929163,lightgbm,us26,distribution,yes,20,avgActiveTransceivers,3.749,0.51,0.114,0.491,0.205,0.019,0.003,success,
2026-01-13T19:24:20.319061,lightgbm,us26,distribution,no,20,highestSlot,23.277,3.146,0.704,-0.493,0.295,0.158,0.02,success,
2026-01-13T19:24:20.319097,lightgbm,us26,distribution,no,20,avgHighestSlot,6.421,1.094,0.245,-0.283,0.216,0.096,0.015,success,
2026-01-13T19:24:20.319109,lightgbm,us26,distribution,no,20,sumOfSlots,170.661,23.565,5.269,-0.117,0.248,0.054,0.007,success,
2026-01-13T19:24:20.319120,lightgbm,us26,distribution,no,20,avgActiveTransceivers,3.637,0.488,0.109,0.522,0.215,0.018,0.002,success,
2026-01-13T19:24:25.702423,lightgbm,us26,traffic,yes,20,highestSlot,19.771,2.737,0.612,-0.026,0.285,0.135,0.018,success,
2026-01-13T19:24:25.702480,lightgbm,us26,traffic,yes,20,avgHighestSlot,4.268,0.722,0.162,0.496,0.153,0.064,0.01,success,
2026-01-13T19:24:25.702534,lightgbm,us26,traffic,yes,20,sumOfSlots,102.32,15.362,3.435,0.61,0.152,0.032,0.005,success,
2026-01-13T19:24:25.702559,lightgbm,us26,traffic,yes,20,avgActiveTransceivers,5.254,0.704,0.157,-0.014,0.174,0.026,0.003,success,
2026-01-13T19:24:29.098309,lightgbm,us26,traffic,no,20,highestSlot,20.405,3.191,0.713,-0.198,0.355,0.139,0.021,success,
2026-01-13T19:24:29.098349,lightgbm,us26,traffic,no,20,avgHighestSlot,6.119,0.874,0.195,-0.117,0.184,0.092,0.013,success,
