timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,status,error
2026-01-12T12:16:48.731008,lightgbm,euro28,all,yes,20,avgActiveTransceivers,3.221,0.586,0.131,0.494,0.279,success,
2026-01-12T12:16:52.884547,lightgbm,euro28,all,no,20,highestSlot,10.494,1.407,0.315,-0.387,0.404,success,
2026-01-12T12:16:52.884621,lightgbm,euro28,all,no,20,avgHighestSlot,4.938,0.608,0.136,-0.135,0.228,success,
2026-01-12T12:16:52.884631,lightgbm,euro28,all,no,20,sumOfSlots,189.083,30.063,6.722,-0.097,0.228,success,
2026-01-12T12:16:52.884641,lightgbm,euro28,all,no,20,avgActiveTransceivers,2.938,0.526,0.118,0.58,0.209,success,
2026-01-12T12:16:58.255018,lightgbm,us26,basic,yes,20,highestSlot,19.966,3.07,0.686,-0.088,0.331,success,
2026-01-12T12:16:58.255055,lightgbm,us26,basic,yes,20,avgHighestSlot,4.633,0.771,0.172,0.401,0.198,success,
2026-01-12T12:16:58.255065,lightgbm,us26,basic,yes,20,sumOfSlots,86.168,13.07,2.922,0.712,0.092,success,
2026-01-12T12:16:58.255075,lightgbm,us26,basic,yes,20,avgActiveTransceivers,3.767,0.532,0.119,0.468,0.201,success,
2026-01-12T12:17:01.471319,lightgbm,us26,basic,no,20,highestSlot,19.936,2.726,0.61,-0.199,0.309,success,
2026-01-12T12:17:01.471351,lightgbm,us26,basic,no,20,avgHighestSlot,5.984,1.03,0.23,-0.105,0.234,success,
2026-01-12T12:17:01.471374,lightgbm,us26,basic,no,20,sumOfSlots,167.228,25.822,5.774,-0.004,0.196,success,
2026-01-12T12:17:01.471385,lightgbm,us26,basic,no,20,avgActiveTransceivers,3.64,0.517,0.116,0.499,0.222,success,
2026-01-12T12:17:06.942453,lightgbm,us26,topology,yes,20,highestSlot,20.102,3.63,0.812,-0.044,0.331,success,
2026-01-12T12:17:06.942490,lightgbm,us26,topology,yes,20,avgHighestSlot,4.791,0.693,0.155,0.388,0.159,success,
2026-01-12T12:17:06.942501,lightgbm,us26,topology,yes,20,sumOfSlots,114.303,19.279,4.311,0.482,0.245,success,
2026-01-12T12:17:06.942510,lightgbm,us26,topology,yes,20,avgActiveTransceivers,5.938,0.87,0.195,-0.462,0.255,success,
2026-01-12T12:17:10.410306,lightgbm,us26,topology,no,20,highestSlot,20.829,3.577,0.8,-0.176,0.313,success,
2026-01-12T12:17:10.410344,lightgbm,us26,topology,no,20,avgHighestSlot,5.933,0.837,0.187,-0.082,0.302,success,
2026-01-12T12:17:10.410368,lightgbm,us26,topology,no,20,sumOfSlots,176.272,20.769,4.644,-0.091,0.222,success,
2026-01-12T12:17:10.410379,lightgbm,us26,topology,no,20,avgActiveTransceivers,5.685,0.813,0.182,-0.306,0.197,success,
2026-01-12T12:17:15.876552,lightgbm,us26,distribution,yes,20,highestSlot,18.503,2.504,0.56,0.078,0.219,success,
